ubigeo,departamento,provincia,distrito,ACCION POPULAR,ALIANZA PARA EL PROGRESO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,DEMOCRACIA DIRECTA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",FUERZA POPULAR,JUNTOS POR EL PERU,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO MORADO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POPULAR CRISTIANO - PPC,PERU PATRIA SEGURA,PODEMOS PERU,RENACIMIENTO UNIDO NACIONAL,RENOVACION POPULAR,UNION POR EL PERU,VICTORIA NACIONAL
940918,EUROPA,ESPA¿¿A,SEVILLA,112,45,157,7,14,127,157,18,36,10,68,37,9,48,8,201,4,83
940920,EUROPA,ESPA¿¿A,VALENCIA,79,20,206,1,5,116,214,25,66,12,69,30,14,19,8,213,4,68
940922,EUROPA,ESPA¿¿A,VIGO,42,7,49,1,4,57,51,14,7,8,33,15,4,14,0,87,1,31
940931,EUROPA,ESPA¿¿A,OVIEDO,14,3,17,0,0,10,23,1,1,1,9,6,0,2,1,22,0,8
940935,EUROPA,ESPA¿¿A,ALMERIA,25,6,32,0,3,48,42,7,6,4,25,7,3,17,1,44,1,32
941001,EUROPA,FINLANDIA,HELSINKI,6,0,18,0,1,3,38,0,6,1,1,2,0,0,0,15,0,3
941101,EUROPA,FRANCIA,BURDEOS,10,0,18,1,0,1,50,1,5,1,2,0,1,1,3,13,0,1
941103,EUROPA,FRANCIA,ESTRASBURGO,10,0,12,0,3,2,37,1,7,1,5,1,0,1,0,11,0,4
941105,EUROPA,FRANCIA,LYON,2,1,23,0,0,4,47,1,7,0,2,5,1,0,0,23,1,5
941106,EUROPA,FRANCIA,MARSELLA,5,1,12,1,0,5,27,0,4,0,1,1,0,1,0,11,0,1
941107,EUROPA,FRANCIA,NIZA,3,0,8,0,1,4,10,2,3,2,3,2,0,1,0,7,0,4
941108,EUROPA,FRANCIA,PARIS,153,17,289,5,15,145,568,38,132,16,64,51,15,30,3,433,12,131
941110,EUROPA,FRANCIA,TOULOUSE,5,0,21,0,0,1,49,1,14,0,1,2,2,2,1,18,2,4
941204,EUROPA,GRAN BRETA¿¿A,LONDRES,47,8,203,0,3,69,208,11,56,2,42,20,3,13,2,199,6,39
941301,EUROPA,GRECIA,ATENAS,3,1,8,0,0,5,14,2,1,3,2,0,1,1,0,4,0,3
941302,EUROPA,GRECIA,SALONICA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
941401,EUROPA,HOLANDA,AMSTERDAM,15,2,86,0,2,14,127,7,45,0,9,8,0,5,1,75,0,24
941501,EUROPA,HUNGRIA,BUDAPEST,2,0,11,0,0,8,16,0,7,0,1,1,1,0,0,16,0,2
941701,EUROPA,ITALIA,BOLONIA,42,18,87,3,6,69,89,11,29,3,89,10,10,30,9,116,16,56
941703,EUROPA,ITALIA,FLORENCIA,146,38,250,10,12,249,371,39,73,17,429,45,20,78,23,449,17,187
941704,EUROPA,ITALIA,GENOVA,103,31,166,9,15,177,176,33,50,13,101,28,11,43,6,275,17,122
941706,EUROPA,ITALIA,MILAN,487,130,859,34,63,1097,1104,187,369,82,919,180,110,321,64,1910,85,691
941707,EUROPA,ITALIA,NAPOLES,15,5,25,2,0,52,36,2,12,2,45,10,5,10,0,49,2,11
941709,EUROPA,ITALIA,ROMA,342,103,466,85,31,539,566,123,181,53,457,121,52,179,35,1038,61,333
941710,EUROPA,ITALIA,TRIESTE,7,1,26,1,0,6,34,2,4,0,7,3,1,6,1,33,0,9
941711,EUROPA,ITALIA,TURIN,262,86,344,10,27,339,497,80,140,54,344,103,45,130,29,675,22,332
941717,EUROPA,ITALIA,MARCAS,56,8,61,6,5,64,75,8,25,11,76,17,5,23,1,88,3,51
941748,EUROPA,ITALIA,PERUGIA,23,8,43,0,1,20,61,8,15,6,28,8,5,14,0,71,1,28
941801,EUROPA,IRLANDA,DUBLIN,5,0,8,0,0,1,9,0,5,0,0,2,1,0,0,13,0,2
942001,EUROPA,GRAN DUCADO DE LUXEMBURGO,LUXEMBURGO,9,0,16,0,1,2,12,0,9,1,0,4,1,2,0,22,0,4
942302,EUROPA,NORUEGA,OSLO,3,0,6,0,1,2,27,3,2,0,6,0,1,1,0,13,0,2
